"id";"recipe_name";"recipe_url";"recipe_image";"ingredients";"raw_ingredients";"instructions";"createdAt"
"1";"Rum Raisin Carrot Cake with Cream Cheese Frosting";"http://www.foodista.com/recipe/FDQ45DLN/rum-raisin-carrot-cake-with-cream-cheese-frosting";"https://spoonacular.com/recipeImages/658871-556x370.jpg";"2 teaspoons baking powder,2 teaspoons baking soda,1/2 cup buttermilk,1 pound carrots, peeled and coarsely shredded,1 teaspoon cinnamon,2 cups confectioners' sugar,2 8-ounces packages cream cheese, softened,1/2 cup dark rum,4 large eggs,2 cups all-purpose flour,Zest of 1 orange,1/2 cup chopped pecans (optional),1 cup 1 pecans (4 ounces),1 cup raisins,1 teaspoon salt,2 cups sugar,2 sticks unsalted butter, softened,1 tablespoon pure vanilla extract,1 1/2 teaspoons pure vanilla extract,1 cup vegetable oil";"baking powder,baking soda,buttermilk,carrots,cinnamon,confectioners' sugar,cream cheese,dark rum,eggs,flour,orange zest,pecans,pecans,raisins,salt,sugar,unsalted butter,vanilla extract,vanilla extract,vegetable oil";"<ol><li>Soak raisins in rum, preferably overnight, until raisins are nice and plump.</li><li>Preheat the oven to 325. Butter two 9-inch cake pans; line the bottoms with parchment. Butter the paper and flour the pans.</li><li>For the cake:</li><li>Spread the pecans on a baking sheet and toast for 8 minutes, until fragrant. Cool and finely chop.</li><li>In a bowl, whisk the flour, baking powder, baking soda, cinnamon and salt.</li><li>In a small bowl, whisk the oil, buttermilk and vanilla.</li><li>In a large bowl, using an electric mixer, beat the eggs and sugar at high speed until pale, 5 minutes.</li><li>Beat in the liquid ingredients, then beat in the dry ingredients just until moistened.</li><li>Stir in the carrots, pecans and raisins.</li><li>Divide the batter between the pans and bake the cakes for 55 minutes to 1 hour, until springy and golden.</li><li>Let the cakes cool on a rack for 30 minutes, then unmold the cakes and let cool completely.</li><li>For the Frosting:</li><li>In a large bowl, using an electric mixer, beat the butter and cream cheese at high speed until light, about 5 minutes.</li><li>Beat in the vanilla and orange zest, then the confectioners' sugar; beat at low speed until incorporated. Increase the speed to high and beat until light and fluffy, about 3 minutes.</li><li>Peel off the parchment paper and invert one cake layer onto a plate. Spread with a slightly rounded cup of the frosting. Top with the second cake layer, right side up. Spread the top and sides with the remaining frosting and refrigerate the cake until chilled, about 1 hour.</li></ol>";"2016-12-20 11:01:06"
"2";"Cajun Oven Baked Pork Chops";"http://www.pinkwhen.com/cajun-oven-baked-pork-chops/";"https://spoonacular.com/recipeImages/cajun-oven-baked-pork-chops-721448.jpg";"1 tsp cayenne pepper,1 tsp garlic powder,1 bag Onion Thyme Harvest Snaps,2-4 thick pork chops,salt and pepper to taste";"cayenne pepper,garlic powder,thyme,pork chops,salt and pepper";"Place into a prepared dish and bake for 35-40 minutes until pork chops are cooked through.Serve with a salad and a side of dirty rice.I love the flavors and the crunchy layer that the Onion Thyme Harvest Snaps gives to this pork chop recipe. Its a delicious twist to one of our favorite meals.With only a few minutes prep time, this recipe lets you create a delicious meal without having to slave in the kitchen for hours. Harvest Snaps are what makes this pork chop recipe delicious!You can find Harvest Snaps in more than just the flavor of Onion Thyme. They also offer Lightly Salted, Caesar, Black Pepper, Wasabi Ranch (another of my favorites), and Tomato Basil. Not to mention, they are gluten free!Which flavor of Harvest Snaps are you most excited to try? You can follow Harvest Snaps on Facebook, Pinterest, Instagram, and Twitter.";"2016-12-20 11:01:06"
"3";"5-Minute Blueberry Chia Jam";"http://www.foodista.com/recipe/CMB4S4FT/5-minute-blueberry-chia-jam";"https://spoonacular.com/recipeImages/5-Minute-Blueberry-Chia-Jam-631880.jpg";"2 cups blueberries (fresh or thawed) (about 270 g),2 tbsp chia seeds,1 tbsp honey/maple syrup,Water, just enough to be able to blend (I used about ¼ cup/60 ml)";"blueberries,chia seeds,maple syrup,water";"<ol><li>Add all of the ingredients to your blender with enough water to allow it to blend, and blend. Pour the jam into a glass jar or similar. Store in the fridge. It should last for around 4-5 days.</li></ol>";"2016-12-20 11:01:06"
"4";"Red Lentil Soup with Chicken and Turnips";"http://www.pinkwhen.com/red-lentil-soup-with-chicken-and-turnips/";"https://spoonacular.com/recipeImages/red-lentil-soup-with-chicken-and-turnips-715415.jpg";"additional toppings: diced avocado, micro greens, chopped basil),3 medium carrots, peeled and diced,3 celery stalks, diced,2 cups fully-cooked chicken breast, shredded (may be omitted for a vegetarian version),½ cup flat leaf Italian parsley, chopped (plus extra for garnish),6 cloves of garlic, finely minced,2 tablespoons olive oil,28 ounce-can plum tomatoes, drained and rinsed, chopped,2 cups dried red lentils, rinsed,salt and black pepper, to taste,1 large turnip, peeled and diced,8 cups vegetable stock,1 medium yellow onion, diced";"avocado,carrots,celery stalks,chicken breast,flat leaf parsley,garlic,olive oil,plum tomatoes,red lentils,salt and pepper,turnip,vegetable stock,yellow onion";"To a large dutch oven or soup pot, heat the olive oil over medium heat. Add the onion, carrots and celery and cook for 8-10 minutes or until tender, stirring occasionally. Add the garlic and cook for an additional 2 minutes, or until fragrant. Season conservatively with a pinch of salt and black pepper.To the pot, add the tomatoes, turnip and red lentils. Stir to combine. Stir in the vegetable stock and increase the heat on the stove to high. Bring the soup to a boil and then reduce to a simmer. Simmer for 20 minutes or until the turnips are tender and the lentils are cooked through. Add the chicken breast and parsley. Cook for an additional 5 minutes. Adjust seasoning to taste.Serve the soup immediately garnished with fresh parsley and any additional toppings. Enjoy!";"2016-12-20 11:01:06"
"5";"Christmas Candy Delight & Free Printable";"http://www.pinkwhen.com/christmas-candy-delight-free-printable/";"https://spoonacular.com/recipeImages/christmas-candy-delight-free-printable-715534.jpg";"Cookie Mold,Rainbow Sprinkles,Vanilla Candy Wafers";"cookie,sprinkles,vanilla wafers";"Melt your candies in the microwave in 30 second intervals and stirring after every 30 seconds. Do this a few times until the candies are fully melted.Once your candy is melted, add in your rainbow sprinkles and then stir well.Pour your mixture into the cookie tray and once filled, place in the refrigerator for 15 minutes to cool.Once cool, turn over onto a waxed paper sheet.I grabbed a few plastic baggies added a twist tie to keep them closed. Then I added a ribbon with the printable tag for gifting. Simple. Easy. And I did several batches of these in under an hour.";"2016-12-20 11:01:06"
"6";"Frittata with Mushrooms, Thyme, and Parmigiano Cheese";"http://www.foodista.com/recipe/ZPHDGMDB/frittata-with-mushrooms-thyme-and-parmigiano-cheese";"https://spoonacular.com/recipeImages/Frittata-with-Mushrooms--Thyme--and-Parmigiano-Cheese-643859.jpg";"3/4 cup egg replacement,3 jumbo eggs,16 ounces fresh mushrooms (of your choice), wiped clean, stems trimmed, sliced,1 1/2 tablespoons chopped, fresh thyme leaves,6 green onions, sliced,fresh ground black pepper to taste,1/4 cup half and half (or you can use whole milk),1/2 cup Parmigiano cheese, fresh and finely grated,salt";"egg replacement,eggs,fresh mushrooms,fresh thyme leaves,green onions,ground pepper,half and half,parmigiano reggiano cheese,salt";"<ol><li>Pre-heat oven on to 350 degrees (later you'll change it to Broil"").</li><li>Heat an 8-inch ovenproof skillet over medium-high heat.</li><li>Coat pan with cooking spray or butter.</li><li>Add mushrooms and green onions to pan";"2016-12-20 11:01:06"
"7";"Chocoholic's Deep Dark Dream Chiffon Cake";"http://www.foodista.com/recipe/PVY6548N/chocoholics-deep-dark-dream-chiffon-cake";"https://spoonacular.com/recipeImages/chocoholics-deep-dark-dream-chiffon-cake-638797.jpg";"1 cup all purpose flour,2 teaspoons baking powder,1/4 cup butter,2 tablespoons butter,3 1/2 ounces 80%% dark Belgium chocolate (cut into small pieces),1/4 cup dark cocoa,1/4 cup or more 35%% cream,1/2 cup 35%% cream,1/4 teaspoon cream of tartar,3/4 dark Dutch cocoa,6 egg whites,5 egg yolks beaten,2 cups icing sugar,1/2 teaspoon salt,1 cup sugar,cup sugar,1/2 teaspoon vanilla,cup vegetable oil,2/3 cup boiling water";"all purpose flour,baking powder,butter,butter,chocolate,cocoa,cream,cream,cream of tartar,dutch process cocoa,egg whites,egg yolks,icing sugar,salt,sugar,sugar,vanilla,vegetable oil,water";"<ol><li>Cake:</li><li>In a bowl add the cocoa and pour in the boiling water. Stir to combine and let cool.</li><li>In a large mixing bowl combine the flour, 1 cup sugar, baking powder and salt.</li><li>In a separate bowl add the 6 egg whites and cream of tartar. With an electric mixer beat the egg whites until soft peaks form, gradually add the 1/3 cup sugar and beat until firm but not dry.</li><li>Make a well in the dry ingredients.</li><li>Add the oil, egg yolks, vanilla and cooled cocoa. Beat until smooth.</li><li>Mix in about a 1/4 of the egg whites to loosen the batter and then fold in the remainder of the egg whites.</li><li>Pour into 2-8 inch prepared cake pans and bake at a preheated 350 F oven for 30-35 minutes. The cake is done when a wooden skewer inserted in the center comes out clean.</li><li>Filling:</li><li>With and electric mixer, blend the sugar, cocoa and butter, add the vanilla and cream. Mix and add more cream to obtain the desired texture.</li><li>Topping:</li><li>In a double boiler or microwave bring the cream to just below the boiling point. Add the chocolate pieces and butter, and with a wooden spoon stir to blend. Allow to cool, this will thicken the ganache gor the topping.</li><li>Assembly:</li><li>With a long knife, slice the cakes in the center to  obtain 4 layers in all.  Sprinkle some Kirsch or other favourite liqueur on the first layer of cake and spread a thin layer of the filling. Place raspberry halves on the filling and place a second layer of cake on top. Continue in the same manner until the remaining 2 layer are filled, leaving the top layer to be iced with the ganache topping.</li></ol>";"2016-12-20 11:01:06"
"8";"Rice Krispie Treats and Christmas";"http://www.pinkwhen.com/rice-krispie-treats/";"https://spoonacular.com/recipeImages/rice-krispie-treats-and-christmas-715514.jpg";"1/4 cup butter,candy melts,5 cups Rice Krispie cereal,4 cups miniature marshmallows,sprinkles,1 Tbsp vegetable oil";"butter,candy melts,crisp rice cereal,marshmallows,sprinkles,vegetable oil";"Step 5: Pour in a microwave safe bowl your bag of candy melts and vegetable oil. Heat on high for 1 minute, remove and stir. Then heat again for 30 minute increments until fully melted.Step 6: Spread a thin layer over the Rive Krispie Treats and smooth out to cover. Add you sprinkles and allow to set, about 30 minutes.Step 7: Cut into squares and serve.This is such a quick and easy recipe, and it is fun for the kiddos to help make and serve. Add in a little a bag and a gift tag and have the kids hand these out at their class Christmas party. Enjoy these Christmas style Rice Krispie Treats this holiday!JOIN 500,000 SUBSCRIBERS!Join over 500,000 others who follow PinkWhen on Social Media, the PinkWhen blog, and email. Sign up to receive exclusive bonuses like this FREE Simple Fit Dinners Ebook.Don't wait! You won't want to miss a thing.Success! Now check your email to confirm your subscription and download your FREE ebook.There was an error submitting your subscription. Please try again.First NameEmail AddressSubscribePowered by ConvertKit";"2016-12-20 11:01:06"
"9";"Dark Chocolate Doughnuts";"http://pickfreshfoods.com/2014/02/07/dark-chocolate-doughnuts/";"https://spoonacular.com/recipeImages/dark-chocolate-doughnuts-715706.jpg";"2 tsp baking powder,¼ cup brown sugar,¾ cup buttermilk,½ cup dark chocolate cocoa powder, sifted,2 large eggs, beaten,1½ cup all-purpose flour,¼ cup granulated sugar,powdered sugar,½ tsp salt,1 tsp vanilla extract,¼ cup vegetable oil";"baking powder,brown sugar,buttermilk,cocoa powder,eggs,flour,granulated sugar,powdered sugar,salt,vanilla extract,vegetable oil";"Preheat oven to 350.In a large bowl combine flour, salt, baking powder and cocoa. Blend with a whisk until no white is seen.In a medium bowl beat eggs. Whisk in oil.Add sugars, vanilla, and buttermilk; whisk until sugar is dissolved.Add the wet ingredients into the flour, stir until combined.Coat a doughnut pan with nonstick spray. Fill each well about  full. Use back of spoon or small spatula to smooth out batter.Bake for 12-15 minutes. Use a toothpick to check for doneness. When it comes out clean they are ready.Cool donuts then sprinkle with powdered sugar.";"2016-12-20 11:01:06"
"10";"Bleu Cheese Stuffed Wine Cherries With Honeycomb";"http://www.foodista.com/recipe/G7WM36ZQ/bleu-cheese-stuffed-wine-cherries-with-honeycomb";"https://spoonacular.com/recipeImages/Bleu-Cheese-Stuffed-Wine-Cherries-With-Honeycomb-635297.jpg";"4 inches Almonds, sliced half,1 tablespoon Bleu cheese,8 inches Cherries, pitted and sliced half,1 Cinnamon Stick,Zest of 1 Lemon,2 cups Red Wine,4 tablespoons sugar, or more to taste,Honeycomb";"almonds,bleu cheese,cherries,cinnamon stick,lemon zest,red wine,sugar,honeycomb";"<ol><li>Bring the wine, cinnamon, lemon zest, and sugar to a boil. Lower to medium heat and reduce the mixture by half. Add the cherries and poach them gently for one minute. Remove from the heat and allow the cherries to macerate for half an hour.</li><li>Remove from the poaching wine and allow cherries to cool. Use an ice bath if you are in a hurry.</li><li>Meanwhile, roll 8 pieces of bleu cheese into the size of cherry pits. Refrigerate until the cherries cool.</li><li>When ready to serve, place a piece of bleu cheese between two cherry halves and press lightly. Place on a serving spoon.</li><li>Slice a piece of honeycomb (1 cm cube) and place beside the stuffed cherry. Lastly, top with an almond half.</li></ol>";"2016-12-20 11:01:06"
