recipe_name;recipe_url;recipe_image;ingredients;raw_ingredients;instructions
Green Monster Ice Pops;http://www.foodista.com/recipe/3584LCSQ/green-monster-ice-pops;https://spoonacular.com/recipeImages/Green-Monster-Ice-Pops-645479.jpg;1 1/2 cup unsweetened almond milk,1 avocado,2 cups baby spinach,1 banana,1 tablespoon honey,1 cup mango, fresh or frozen;almond milk,avocado,baby spinach,banana,honey,mango;<ol><li>Place all ingredients into a blender and mix well.</li><li>Taste the smoothie. If you find that it is not sweet enough, add 1 to 2 tablespoons of maple syrup or honey into the smoothie and blend.</li><li>Pour smoothie into the ice pop molds. Insert a wooden popsicle stick into the mold, leaving about a quarter of the stick above the mold.</li><li>Place the molds into the freezer for 2-3 hours to let freeze before serving.</li></ol>
Baked Oatmeal with Dried Cranberries;http://www.foodista.com/recipe/VS5TY2X2/baked-oatmeal-with-dried-cranberries;https://spoonacular.com/recipeImages/Baked-Oatmeal-with-Dried-Cranberries-633692.jpg;1 cup almond milk (I used original unsweetened),2 tsp baking powder,2 very ripe bananas, mashed,1 1/2 tsp cinnamon,1 cup dried cranberries,2 eggs,1 tbsp flaxseeds,3 cups dry oats (I used old fashioned oats),1/4 teaspoon Salt,1 tsp vanilla extract;almond milk,baking powder,bananas,cinnamon,dried cranberries,eggs,flaxseeds,oats,salt,vanilla extract;<ol><li>1.Preheat oven to 350F</li><li>2.Mix dry ingredients until well combined.</li><li>3. Mix liquid ingredients separately.</li><li>4.Add the liquid ingredients to the dry mix.</li><li>5.Mix well.</li><li>5.Spray a pan with a non-stick spray - the smaller the pan, the thicker the bars will be.</li><li>6.Pour the mix into the pan.</li><li>7.Bake for 45 minutes.</li><li>8.Enjoy!</li></ol>
Caramel ice cream;http://www.foodista.com/recipe/3PMCPVCX/caramel-ice-cream;https://spoonacular.com/recipeImages/Caramel-ice-cream-637008.jpg;4 eggs,2 cups heavy cream,½ cup powdered sugar,Pinch of salt,1 cup sugar,1 tsp vanilla extract,1 cup hot water;eggs,heavy cream,powdered sugar,salt,sugar,vanilla extract,water;"<ol><li>Heat sugar and  cup water for 5 minutes in a big skillet on medium high heat until the sugar melts and boils, stirring occasionally.</li><li>Boil for about 5 minutes until the mixture becomes dark brown in colour; remove from heat.</li><li>Gradually stir in remaining  cup water. Cool to room temperature and set aside.</li><li>Beat eggs for 3 minutes in a medium bowl until thick and light yellow; gradually beat in powdered sugar.</li><li>Stir in cream, salt and vanilla.</li><li>Add caramel mixture, gently stir until smooth.</li><li>Cover and chill for at least 4 hours or overnight.</li><li>Pour the mixture into an ice cream machine and churn until frozen. Transfer to plastic container and place in the freezer for an hour before serving.</li><li>Serving: take it out for 5-10 minutes before serving, or longer, so it comes to the right scooping temperature.</li><li>Easy suggestion: ice cream is best served in chilled glass or porcelain bowls. Scoop it with a hot, but dry, ice-cream spoon (soak it in boiling water, then wipe dry).</li></ol>"
Candied Spiced Pecans;http://www.foodista.com/recipe/HSRTFJ3N/candied-spiced-pecans;https://spoonacular.com/recipeImages/Candied-Spiced-Pecans-636864.jpg;¼ tsp allspice,1 cup brown sugar, packed,1/2 stick butter,1 tsp cinnamon,½ cup granulated sugar,¼ tsp ground cloves,1 tsp maple extract,¼ tsp nutmeg,2 cups pecans,1/2 cup water;allspice,brown sugar,butter,cinnamon,granulated sugar,ground cloves,maple extract,nutmeg,pecans,water;<ol><li>Preheat oven to 300 F.</li><li>Line a cookie sheet with tin foil and coat with cooking spray. Set aside.</li><li>In a shallow bowl sift together granulated sugar, cinnamon, allspice, cloves, and nutmeg. Set aside.</li><li>In a small bowl, whisk together maple extract, brown sugar and water.</li><li>Over medium heat, melt butter in a skillet. Slowly whisk in brown sugar mixture and bring to a boil. Add pecans and stir to coat. Simmer for about 1-2 minutes until well coated.</li><li>With a slotted spoon, transfer pecans to the reserved sugar and spice bowl. Coat pecans with sugar.</li><li>Place pecans evenly on prepared cookie sheet and bake for 15 minutes. Stir pecans and bake for an additional 15 minutes. Let cool completely before serving.</li></ol>
Fresh Roasted Tomatillo Salsa;http://pickfreshfoods.com/2013/04/30/fresh-roasted-tomatillo-salsa/;https://spoonacular.com/recipeImages/fresh-roasted-tomatillo-salsa-715763.jpg;½ cup fresh cilantro, chopped,2 garlic cloves, unpeeled,1 fresh lime, juiced,1 tsp kosher salt,3 fresh serrano peppers, stems removed,1 small sweet onion, chopped,1 lb fresh tomatillos;fresh cilantro,garlic cloves,juice of lime,kosher salt,serrano peppers,sweet onion,tomatillos;Preheat broiler. Line a baking pan with foil.Remove husk from tomatillos and wash them to remove the sticky coating.Place tomatillos, serrano pepper, and garlic on prepared pan.Place pan in the oven on the middle rack.Roast for about 5-7 minutes, turning once to get charring on both sides.Add roasted tomatillos, serranos (seed peppers to control spice level) to food processor. Pulse 2-3 times.Peel garlic and add to food processor along with cilantro, onion, salt, and lime juice.Pulse 5-6 times or until salsa is an even consistency.Makes about 2 cups
Cranberry Apple Crisp;http://www.foodista.com/recipe/TJXDHDFD/cranberry-apple-crisp;https://spoonacular.com/recipeImages/Cranberry-Apple-Crisp-640352.jpg;2 cups fresh cranberries,1/4 cup all-purpose flour,4 cups Granny Smith apples, chopped into ½ inch chunks,1/2 cup light brown sugar,1 1/2 cups regular oats (not quick-cooking),1 cup sugar,1 stick unsalted butter, melted,1/2 stick (4 Tbs) unsalted butter, cut into cubes;cranberries,flour,granny smith apples,light brown sugar,oats,sugar,unsalted butter,unsalted butter;<ol><li>Preheat the oven to 350 degrees and grease or butter a 9x13 glass baking dish.</li><li>In a large bowl, toss together the chopped apples, cranberries and sugar. Let stand for a few minutes then pour into the baking dish.</li><li>Dot the mixture with the 1/2 stick of cubed butter.</li><li>In a medium bowl, combine the oats, brown sugar and flour.  Sprinkle evenly over the cranberries and apples in the baking dish.  Gently pour the melted butter over the top.</li><li>Cover with aluminum foil and bake for 35 minutes.  Remove the foil and bake for an additional 15 minutes, or until the oat topping is nicely browned.</li><li>Serve warm as a side or for dessert with a scoop of vanilla ice cream.</li></ol>
Brownie Coffins;http://www.foodista.com/recipe/6N5LJN3V/brownie-coffins;https://spoonacular.com/recipeImages/Brownie-Coffins-636328.jpg;1/4 teaspoon baking powder,1/3 cup dark chocolate cocoa powder,2 eggs,1/2 cup flour,candy pen and sprinkles, to decorate,a pinch of salt,1/2 cup sugar (add another 1/4 to 1/2 cup if you like it sweet),1/2 cup unsalted butter,1 teaspoon Vanilla extract,Melted white chocolate, to decorate;baking powder,cocoa powder,eggs,flour,m&m candy,salt,sugar,unsalted butter,vanilla extract,white chocolate;<ol><li>Step 1: Preheat oven to 350 degrees F. Spray the Coffin Cake Pan with baking spray.</li><li>Step 2: Melt 1/2 cup butter in a microwave safe bowl. In a large mixing bowl mix together the melted butter and sugar. When smooth, add the eggs and vanilla extract and mix well.</li><li>Step 3: Beat in the dark chocolate cocoa powder. When smooth, beat in flour, salt, and baking powder.</li><li>Step 4: Fill the coffins about 2/3 of the way with the brownie batter. Bake at 350 degrees F for 20 to 25 minutes (22 minutes worked for me).</li><li>Step 5: When the brownies have cooled, decorate as you like.</li></ol>
Vegan Pumpkin Pie Butter Cups;http://www.foodista.com/recipe/ZN2SQPFL/vegan-pumpkin-pie-butter-cups;https://spoonacular.com/recipeImages/Vegan-Pumpkin-Pie-Butter-Cups-664474.jpg;1 tsp chia seeds,Chocolate Shell,Raw Chocolate Pie Crust,½ cup cocoa powder,2 TBS cocoa powder,¼ cup + 2 TBS coconut oil, melted,1½ TBS maple syrup,½ cup pitted medjool dates (about 10 – 12),3 TBS peanut butter, creamy or chunky,1 pinch of pumpkin pie spice or cinnamon,4 TBS pumpkin puree (*not the pumpkin pie puree),½ cup unsweetened shredded coconut,½ cup raw walnuts;chia seeds,chocolate,chocolate cookie pie crust,cocoa powder,cocoa powder,coconut oil,maple syrup,medjool dates,peanut butter,pumpkin pie spice,pumpkin puree,unsweetened shredded coconut,walnuts;<ol><li>Line 16 muffin cups with paper or silicone liners. The butter cups are easier to take out if you use paper liners.</li><li>In a food processor, blend all of the chocolate crust ingredients together.</li><li>Drop a tablespoon of the crust into each cup and flatten it at the bottom.</li><li>In a small bowl, mix the ingredients for the pumpkin filling together. Freeze it for 5-10 minutes.</li><li>Mix the chocolate shell ingredients together until it looks like chocolate sauce.</li><li>Remove the pumpkin filling and drop -tablespoon dollops of the pie filling into each cup.</li><li>Pour about 2 teaspoons of chocolate sauce into each cup so that you could just about cover up the pumpkin filling.</li><li>Freeze the cups for 30 minutes to an hour.</li><li>Store in the refrigerator. The chocolate will turn gooey if you leave the cups out in room temperature for a long time.</li><li>Enjoy!</li></ol>
Falafel Burgers;http://www.foodista.com/recipe/FBWMX8MY/falafel-burgers;https://spoonacular.com/recipeImages/Falafel-Burgers-642540.jpg;2 cans garbanzo beans (chickpeas), drained and rinsed,1 tablespoon chili powder,1 tablespoon coriander,1 tablespoon cumin,4 tablespoons flour,1 large handful parsley, chopped,2 cloves garlic, grated or finely chopped,2 Zest and juice of lemons,4 pita pockets,1 small red onion, chopped,Salt and pepper, to taste,1/2 cup tahini,1 1/2 teaspoons turmeric,1/4 cup vegetable oil,3 tablespoons water;canned garbanzo beans,chili powder,coriander,cumin,flour,fresh parsley,garlic,juice of lemon,pita,red onion,salt and pepper,tahini,turmeric,vegetable oil,water;<ol><li>Combine the chickpeas, onion, garlic, parsley, flour, spices, and salt, and pulse until the mixture is well combined. Form the mixture into 4 large patties.</li><li>Heat the oil in a large, nonstick skillet set over medium-high heat. Cook for about 3 minutes per side.</li><li>Make the tahini sauce: Whisk the tahini paste with the water, lemon juice and zest, salt, and freshly ground black pepper in a mixing bowl.</li><li>Serve the burgers in pita pockets or on a bun. Top them with tahini sauce, lettuce, and tomato.</li></ol>
Banana Cream Pie;http://www.foodista.com/recipe/CS5FC8WD/banana-cream-pie;https://spoonacular.com/recipeImages/Banana-Cream-Pie-634065.jpg;3 med. bananas,1 pkg. 3 ½ oz. instant vanilla pudding,1 cup milk,1 cup heavy cream, whipped or Cool Whip,1 pie crust,1 cup sour cream;bananas,instant vanilla pudding,milk,nonfat cool whip,pie crust,sour cream;<ol><li>1. Take pie shell.</li><li>2. Slice 2 bananas and arrange slices in the bottom of the pie shell.</li><li>3. In a separate bowl, combine sour cream and milk. Add pudding mix. Blend until thick (1 minute).</li><li>4. Pour in pie shell.</li><li>5. Before serving. Slice 1 banana and arrange slices on top of pie and frost with whipped cream. Very easy - very good.</li></ol>
